1 -0.0299283 -4.83526
2 -0.0599419 -7.93071
3 -0.086954 -8.70315
4 -0.135779 -9.72833
5 -0.17668 -11.3917
6 -0.21635 -13.1415
7 -0.256072 -14.9812
8 -0.314023 -16.8444
9 -0.381361 -18.7368
10 -0.45184 -20.5487
11 -0.534829 -22.4337
12 -0.625145 -24.2547
13 -0.73385 -26.1037
14 -0.863665 -27.9289
15 -0.977137 -29.7446
16 -1.0895 -31.5723
17 -1.22684 -33.4111
18 -1.37071 -35.2893
19 -1.53078 -37.2861
20 -1.64712 -39.825
21 -1.77863 -41.9657
22 -1.97245 -43.6483
23 -2.19815 -45.2603
24 -2.43755 -46.7694
25 -3.41718 -102.106
26 -2.86823 -107.2
27 -4.25128 -133.61
28 -4.67767 -132.014
29 -5.31779 -140.94
30 -4.64002 -64.6219
31 -7.57083 -83.2959
32 -8.37287 -84.0185
33 -9.03708 -84.5102
34 -9.70192 -84.2571
35 -10.3525 -83.3578
36 -11.9469 -81.4897
37 -13.8174 -89.5115
38 -14.2876 -87.0157
39 -14.6155 -84.2732
40 -14.8227 -81.649
41 -14.9522 -79.2928
42 -15.0146 -77.2782
43 -15.1977 -75.0403
44 -16.1051 -77.2654
45 -16.124 -76.3033
46 -16.1387 -75.513
47 -16.1524 -74.9198
48 -16.1826 -74.4726
49 -16.2154 -74.29
50 -16.3273 -73.6867
51 -17.2345 -75.3611
52 -17.4356 -75.4963
53 -17.5198 -75.2535
54 -17.5976 -75.0107
55 -17.6737 -74.7392
56 -17.7513 -74.4734
57 -17.8154 -74.0289
58 -17.8828 -73.7157
59 -17.9451 -73.4393
60 -17.9998 -73.1663
61 -18.0527 -72.9145
62 -18.1038 -72.6311
63 -18.1641 -72.519
64 -18.2079 -72.2666
65 -18.2275 -71.8861
66 -18.2551 -71.6475
67 -18.2805 -71.4204
68 -18.3036 -71.2275
69 -18.3244 -71.0323
70 -18.3383 -70.8551
71 -18.3532 -70.7257
72 -18.3626 -70.6313
73 -18.3538 -70.6023
74 -18.367 -70.8243
75 -18.4056 -71.7175
76 -18.4642 -72.4355
77 -18.5319 -73.3188
78 -18.6107 -74.3259
79 -18.7023 -75.6478
80 -18.8449 -78.868
81 -19.0183 -83.7544
82 -19.2039 -88.7242
83 -19.3946 -93.0204
84 -19.5808 -96.8273
85 -19.7767 -99.9235
86 -19.9784 -102.703
87 -20.1739 -105.526
88 -20.3706 -108.035
89 -20.5666 -109.881
90 -20.7586 -111.829
91 -20.9487 -113.808
92 -21.1411 -115.899
93 -21.3302 -117.733
94 -21.5239 -119.444
95 -21.713 -121.019
96 -21.9029 -122.594
97 -22.0891 -124.172
98 -22.2743 -125.759
99 -22.4561 -127.14
100 -22.6297 -128.547
101 -22.8153 -129.869
102 -22.9993 -131.119
103 -23.181 -132.443
104 -23.3587 -133.888
105 -23.5342 -135.116
106 -23.7113 -136.435
107 -23.8857 -137.574
108 -24.0627 -138.681
109 -24.2361 -139.975
110 -24.407 -140.978
111 -24.5735 -142.074
112 -24.746 -143.27
113 -24.9174 -144.509
114 -25.0876 -145.591
115 -25.2631 -146.724
116 -25.4298 -147.503
117 -25.5954 -148.555
118 -25.7573 -149.526
119 -25.9182 -150.561
120 -26.0881 -151.727
121 -26.2526 -152.627
122 -26.4159 -153.737
123 -26.5772 -154.663
124 -26.7425 -155.586
125 -26.907 -155.501
126 -27.0796 -156.994
127 -27.2268 -157.969
128 -27.3858 -158.732
129 -27.5443 -159.626
130 -27.7028 -160.677
131 -27.8615 -161.514
132 -28.0221 -162.449
133 -28.1806 -163.519
134 -28.3426 -164.554
135 -28.5141 -165.375
136 -28.6613 -165.713
137 -28.8166 -166.065
138 -28.9659 -166.924
139 -29.1175 -167.688
140 -29.2732 -168.553
141 -29.4223 -169.507
142 -29.5794 -170.569
143 -29.732 -171.424
144 -29.8869 -172.226
145 -30.0346 -173.169
146 -30.1845 -174.274
147 -30.3408 -175.229
148 -30.5198 -175.65
149 -30.6955 -175.827
150 -30.8228 -176.055
